task_id,model,method,repetition,phase,target_seconds,status,bound_fraction,bound_numerator,bound_denominator,bound_decimal,factors,integer_entries,raw_count,certificate_path,certificate_sha256,source_dual_sha256,factorization,verification_seconds,independent_full_scans_agree,formalized_in_Lean,verification_reused,candidate_available_seconds,numerical_upper,retrospective_certification_seconds,exact_bound_fraction,exact_bound_decimal
production-M7-no5-SDP-CG-rep-01,M7-no5,SDP-CG,1,production,900,verified,106888941218993/168000000000000,106888941218993,168000000000000,0.6362436977321012,471,74065,13051375,<repo>\.research-repro\section6-complete-20260911-01\jobs\production-M7-no5-SDP-CG-rep-01\attempt-01\exact\0900-svd\certificate.json,46cfc93a413af9a6cd440f77946d9dc1738dd6b2c484bcf45caa183f207419d0,9889e717cc0b363ebe31ed513b28952cc44a15378bf2e3f7b5bbd68ec75138a3,svd,75.30120658874512,True,False,False,677.2339999999967,0.6362436347129169,752.5352065887419,,
production-M7-no5-SDP-CG-rep-01,M7-no5,SDP-CG,1,production,1800,verified,5732806539912449/10080000000000000,5732806539912449,10080000000000000,0.5687308075309969,492,78016,13051375,<repo>\.research-repro\section6-complete-20260911-01\jobs\production-M7-no5-SDP-CG-rep-01\attempt-01\exact\final-svd\certificate.json,138620842c9fc6f4ec468cb41844dc01bf91518f818d85fe3703cc0df76a76f0,115cdf88f68582d829f296b27190b75bd55a67c443773478edd7b4571d0b1d2c,svd,75.31479907035828,True,False,True,1660.6719999999914,0.5687308113429276,1735.9867990703497,,
production-M7-no5-SDP-CG-rep-01,M7-no5,SDP-CG,1,production,3600,verified,5732806539912449/10080000000000000,5732806539912449,10080000000000000,0.5687308075309969,492,78016,13051375,<repo>\.research-repro\section6-complete-20260911-01\jobs\production-M7-no5-SDP-CG-rep-01\attempt-01\exact\final-svd\certificate.json,138620842c9fc6f4ec468cb41844dc01bf91518f818d85fe3703cc0df76a76f0,115cdf88f68582d829f296b27190b75bd55a67c443773478edd7b4571d0b1d2c,svd,75.31479907035828,True,False,True,1660.6719999999914,0.5687308113429276,1735.9867990703497,,
production-M7-all5-LP-CUT-rep-01,M7-all5,LP-CUT,1,production,60,verified,8227139706683/14000000000000,8227139706683,14000000000000,0.5876528361916429,10,1247,13051375,<repo>\.research-repro\section6-complete-20260911-01\jobs\production-M7-all5-LP-CUT-rep-01\attempt-02\exact\0060-svd\certificate.json,552e96fae0cf22dd6d5b0fba45f1fba5ebda2045ca675652e2f748bcd36bcde8,97edece0fe71328135130f63ef7c010f51b3711360d1ba8f1f11744b3d09e8fe,svd,86.35546255111694,True,False,False,58.78200000000652,0.5876527757618704,145.13746255112346,,
production-M7-all5-LP-CUT-rep-01,M7-all5,LP-CUT,1,production,300,verified,476788933886513/840000000000000,476788933886513,840000000000000,0.5676058736744203,61,11123,13051375,<repo>\.research-repro\section6-complete-20260911-01\jobs\production-M7-all5-LP-CUT-rep-01\attempt-02\exact\0300-svd\certificate.json,ff8da33334fdde73b3ea829965cffb94971fb27765443ef29720bef917a3aa04,bd80c17edeee792824766bd7288a8ddbb6c0c4c70491b4931ab8ecc1924e085d,svd,87.36570310592651,True,False,False,263.8279999999795,0.5676058074827987,351.193703105906,,
production-M7-all5-LP-CUT-rep-01,M7-all5,LP-CUT,1,production,900,verified,2253647546769/4000000000000,2253647546769,4000000000000,0.56341188669225,118,29239,13051375,<repo>\.research-repro\section6-complete-20260911-01\jobs\production-M7-all5-LP-CUT-rep-01\attempt-02\exact\0900-svd\certificate.json,8397042dd14bda799f58293cf809b5d7e9d66a8dcfbe5ececcd3438c23837406,b1e93a4aee5f188889922801103f326b3ba16bb8a7e6e3558f679b6353150bf4,svd,86.35592293739319,True,False,False,788.625,0.5634116692492527,874.9809229373932,,
production-M7-all5-LP-CUT-rep-01,M7-all5,LP-CUT,1,production,1800,verified,47176532199943/84000000000000,47176532199943,84000000000000,0.5616253833326548,159,42024,13051375,<repo>\.research-repro\section6-complete-20260911-01\jobs\production-M7-all5-LP-CUT-rep-01\attempt-02\exact\1800-svd\certificate.json,99cfe576d3cc4d29ef16645abfbda2adba4e49a77d3f4bc81d382b15398eaed1,f9b2b4b88331aca5bae70f822131dec8803c932f55727fec3cc9934e9ad48ca3,svd,86.35447645187378,True,False,False,1776.9380000000237,0.5616252372451589,1863.2924764518975,,
production-M7-all5-LP-CUT-rep-01,M7-all5,LP-CUT,1,production,3600,verified,280227126239/500000000000,280227126239,500000000000,0.560454252478,219,66928,13051375,<repo>\.research-repro\section6-complete-20260911-01\jobs\production-M7-all5-LP-CUT-rep-01\attempt-02\exact\final-svd\certificate.json,9594475b66b6d90b169842636ebc40f96f5075efc2ae66684eada140bdf2ee1e,5630b5eb9159174a8becdd154681fc3e20f7874f81edb354196a1829cdec7daa,svd,86.36929821968079,True,False,True,3541.4220000000205,0.5604540309601829,3627.7912982197013,,
production-M7-all5-SDP-FULL-rep-02,M7-all5,SDP-FULL,2,production,60,no_completed_candidate,,,,,,,,,,,,,,,,,,,,
production-M7-all5-SDP-FULL-rep-02,M7-all5,SDP-FULL,2,production,300,no_completed_candidate,,,,,,,,,,,,,,,,,,,,
production-M7-all5-SDP-FULL-rep-02,M7-all5,SDP-FULL,2,production,900,no_completed_candidate,,,,,,,,,,,,,,,,,,,,
production-M7-all5-SDP-FULL-rep-02,M7-all5,SDP-FULL,2,production,1800,no_completed_candidate,,,,,,,,,,,,,,,,,,,,
production-M7-all5-SDP-FULL-rep-02,M7-all5,SDP-FULL,2,production,3600,verified,345646484884529/560000000000000,345646484884529,560000000000000,0.6172258658652303,8720,5685906,13051375,<repo>\.research-repro\section6-complete-20260911-01\jobs\production-M7-all5-SDP-FULL-rep-02\attempt-01\exact\final-svd\certificate.json,e83e0b9d51de3e2fd542c25293c2a196c51664e44fc5fd074b8c033f57072e9a,e669b0e9c04848de36218f89d8942490e5b642ae04bb1dde09d3c77306ac1c6a,svd,101.45204591751099,True,False,True,3404.25,0.6172258745463542,3505.702045917511,,
production-M7-all5-SDP-CG-rep-02,M7-all5,SDP-CG,2,production,60,no_completed_candidate,,,,,,,,,,,,,,,,,,,,
production-M7-all5-SDP-CG-rep-02,M7-all5,SDP-CG,2,production,300,no_completed_candidate,,,,,,,,,,,,,,,,,,,,
production-M7-all5-SDP-CG-rep-02,M7-all5,SDP-CG,2,production,900,verified,2493688198023/2500000000000,2493688198023,2500000000000,0.9974752792092,331,83245,13051375,<repo>\.research-repro\section6-complete-20260911-01\jobs\production-M7-all5-SDP-CG-rep-02\attempt-02\exact\0900-svd\certificate.json,9fb40b09f25e511d96168987176370062ab5decea0d3335d8db33c97df9b4bbe,5185045a043cd077ab006d7120aea9e5f0ffefbbf25d2b208c06910221fc9c63,svd,86.34487438201904,True,False,False,335.625,0.9974753324476401,421.96987438201904,,
production-M7-all5-SDP-CG-rep-02,M7-all5,SDP-CG,2,production,1800,verified,374630485814057/420000000000000,374630485814057,420000000000000,0.8919773471763262,14783,9665240,13051375,<repo>\.research-repro\section6-complete-20260911-01\jobs\production-M7-all5-SDP-CG-rep-02\attempt-02\exact\1800-svd\certificate.json,2e01154683055bc70a48d5fa1cdc83884e862d8f106bf9a6dc2e4d066967e4df,8b059947fe6c804400ce8a81adad7399067b9897602251492042ae4f5beb216b,svd,112.48064017295837,True,False,False,1714.2820000000065,0.8919771930964203,1826.762640172965,,
production-M7-all5-SDP-CG-rep-02,M7-all5,SDP-CG,2,production,3600,verified,16701450563937/28000000000000,16701450563937,28000000000000,0.5964803772834643,14836,9697497,13051375,<repo>\.research-repro\section6-complete-20260911-01\jobs\production-M7-all5-SDP-CG-rep-02\attempt-02\exact\final-svd\certificate.json,d02af051e54d38fef9376eb7166054a7d940638eeca3d7f5f53c16f374b609ee,c64c34d6951f7b3269b255ee017ceda0e77917f7ef591d61ec38929eaa500914,svd,112.45300030708313,True,False,True,2744.734999999986,0.5964804677634677,2857.188000307069,,
production-M7-no5-LP-CUT-rep-02,M7-no5,LP-CUT,2,production,60,verified,2057275616211/3500000000000,2057275616211,3500000000000,0.5877930332031429,10,1180,13051375,<repo>\.research-repro\section6-complete-20260911-01\jobs\production-M7-no5-LP-CUT-rep-02\attempt-03\exact\0060-svd\certificate.json,20e640a49760639db644ad55b855ac1beda325a4b0c441c664eba388d2a716a4,3029bc0cd634dbf4e6e0cf2398c89790d4ba2fe49478811c60068890a7120f69,svd,74.31934356689453,True,False,False,49.68699999997625,0.5877929854119661,124.00634356687078,,
production-M7-no5-LP-CUT-rep-02,M7-no5,LP-CUT,2,production,300,verified,22702734283/40000000000,22702734283,40000000000,0.567568357075,64,7518,13051375,<repo>\.research-repro\section6-complete-20260911-01\jobs\production-M7-no5-LP-CUT-rep-02\attempt-03\exact\0300-svd\certificate.json,66c8b6e3f30f34b62c1b5e84c01f4387aba0195471111f07a09dd56dc7f23717,18b5969cb16defe17b10347e67b301efd86ed093e0b4e8aaa6c06c04e4d8e1e7,svd,74.31215929985046,True,False,False,294.0929999999935,0.5675677566374023,368.40515929984394,,
production-M7-no5-LP-CUT-rep-02,M7-no5,LP-CUT,2,production,900,verified,2258874346859/4000000000000,2258874346859,4000000000000,0.56471858671475,84,11432,13051375,<repo>\.research-repro\section6-complete-20260911-01\jobs\production-M7-no5-LP-CUT-rep-02\attempt-03\exact\0900-svd\certificate.json,61c43d23cbc58de35f49b2d686618e1ec16421d4688326d40e0824c6029c6bee,0df342d3974906cd1d528682c0791b3158bf7fd6c31297296265b07c74c31f5c,svd,74.31550860404968,True,False,False,756.9679999999935,0.5647183219969893,831.2835086040432,,
production-M7-no5-LP-CUT-rep-02,M7-no5,LP-CUT,2,production,1800,verified,450349112691/800000000000,450349112691,800000000000,0.56293639086375,116,17259,13051375,<repo>\.research-repro\section6-complete-20260911-01\jobs\production-M7-no5-LP-CUT-rep-02\attempt-03\exact\1800-svd\certificate.json,3900e948a142d6f34ce9ebbfb86b63dabe379aa6e2b9363a9923a4c746d8a61e,c8dc94c13009dc6e184b2e3d589dee39b9ab5aca88f8d3aea9328160679df42d,svd,74.31399178504944,True,False,False,1727.3589999999967,0.5629361448429575,1801.6729917850462,,
production-M7-no5-LP-CUT-rep-02,M7-no5,LP-CUT,2,production,3600,verified,235954996449037/420000000000000,235954996449037,420000000000000,0.5617976105929452,139,22223,13051375,<repo>\.research-repro\section6-complete-20260911-01\jobs\production-M7-no5-LP-CUT-rep-02\attempt-03\exact\final-svd\certificate.json,e3784a28168f4cb5b6a2a9a91c09539d70267d82f1c2930f23d67a21f0c41cbc,09c1970c848b75d4ba0a1d90ff846956b042ea4377a012053a0126f9d8d71199,svd,74.32429051399231,True,False,True,3557.0929999999935,0.5617974714922686,3631.417290513986,,
production-M7-no5-SDP-CG-rep-02,M7-no5,SDP-CG,2,production,60,verified,997374709743/1000000000000,997374709743,1000000000000,0.997374709743,255,17751,13051375,<repo>\.research-repro\section6-complete-20260911-01\jobs\production-M7-no5-SDP-CG-rep-01\attempt-01\exact\0060-svd\certificate.json,f1093b44e4b3672c5f7bcb93a0167212fb7c0c610270c7c5f282a7ff0352e679,dd111ae24ba23bf6eafb81ad20337a2365f8345ac6c0cb8dcb5aa71d437a2e0c,svd,75.32253694534302,True,False,True,19.953000000008615,0.9973747650110438,95.27553694535163,,
production-M7-no5-SDP-CG-rep-02,M7-no5,SDP-CG,2,production,300,verified,997374709743/1000000000000,997374709743,1000000000000,0.997374709743,255,17751,13051375,<repo>\.research-repro\section6-complete-20260911-01\jobs\production-M7-no5-SDP-CG-rep-01\attempt-01\exact\0060-svd\certificate.json,f1093b44e4b3672c5f7bcb93a0167212fb7c0c610270c7c5f282a7ff0352e679,dd111ae24ba23bf6eafb81ad20337a2365f8345ac6c0cb8dcb5aa71d437a2e0c,svd,75.32253694534302,True,False,True,19.953000000008615,0.9973747650110438,95.27553694535163,,
production-M7-no5-SDP-CG-rep-02,M7-no5,SDP-CG,2,production,900,verified,106888941218993/168000000000000,106888941218993,168000000000000,0.6362436977321012,471,74065,13051375,<repo>\.research-repro\section6-complete-20260911-01\jobs\production-M7-no5-SDP-CG-rep-02\attempt-01\exact\0900-svd\certificate.json,d19c62cf405c162f2f17bc1330079344fb40a94a2a6fc8a722538e2b8678f423,c5f51874fbd054daed3e82a20bc5fc6016c31d6d79fcdddbf2a8578222d43721,svd,74.30000448226929,True,False,False,672.8440000000119,0.6362436347129169,747.1440044822812,,
production-M7-no5-SDP-CG-rep-02,M7-no5,SDP-CG,2,production,1800,verified,179189326544831/315000000000000,179189326544831,315000000000000,0.5688550049042254,492,78016,13051375,<repo>\.research-repro\section6-complete-20260911-01\jobs\production-M7-no5-SDP-CG-rep-02\attempt-01\exact\final-svd\certificate.json,e5d52e56b3318b4858c3c167765e07115cdc2a1b07e9c11d069cd8ab061f0d9d,33bffbb5e26c2cc55b26198b98e141ef748233faf77a795cf2fdb45cf2868a8e,svd,75.31111788749695,True,False,True,1624.2190000000119,0.5688549820302435,1699.5301178875088,,
production-M7-no5-SDP-CG-rep-02,M7-no5,SDP-CG,2,production,3600,verified,179189326544831/315000000000000,179189326544831,315000000000000,0.5688550049042254,492,78016,13051375,<repo>\.research-repro\section6-complete-20260911-01\jobs\production-M7-no5-SDP-CG-rep-02\attempt-01\exact\final-svd\certificate.json,e5d52e56b3318b4858c3c167765e07115cdc2a1b07e9c11d069cd8ab061f0d9d,33bffbb5e26c2cc55b26198b98e141ef748233faf77a795cf2fdb45cf2868a8e,svd,75.31111788749695,True,False,True,1624.2190000000119,0.5688549820302435,1699.5301178875088,,
production-M7-all5-LP-CUT-rep-02,M7-all5,LP-CUT,2,production,60,verified,8227139706683/14000000000000,8227139706683,14000000000000,0.5876528361916429,10,1247,13051375,<repo>\.research-repro\section6-complete-20260911-01\jobs\production-M7-all5-LP-CUT-rep-02\attempt-01\exact\0060-svd\certificate.json,5ea2a5a05aeae5fd0764cd06309a7b050aee1777c8d97ced0478835432b0430a,d5f01376a81aa90310d4a7f63591a1fd23fdd3da976a12b751288c0a260e07a5,svd,87.37009382247925,True,False,False,59.14100000000326,0.5876527757618704,146.5110938224825,,
production-M7-all5-LP-CUT-rep-02,M7-all5,LP-CUT,2,production,300,verified,476788933886513/840000000000000,476788933886513,840000000000000,0.5676058736744203,61,11123,13051375,<repo>\.research-repro\section6-complete-20260911-01\jobs\production-M7-all5-LP-CUT-rep-02\attempt-01\exact\0300-svd\certificate.json,a4af8a733104ae512c922babc4031ce8df612ec10f5c90cc3cd324c986000584,626feba6f66568fc0c7bfd133b0b22be45b41463a3c2ed07320c42b8d483076b,svd,86.3521077632904,True,False,False,264.844000000041,0.5676058074827987,351.1961077633314,,
production-M7-all5-LP-CUT-rep-02,M7-all5,LP-CUT,2,production,900,verified,2253647546769/4000000000000,2253647546769,4000000000000,0.56341188669225,118,29239,13051375,<repo>\.research-repro\section6-complete-20260911-01\jobs\production-M7-all5-LP-CUT-rep-02\attempt-01\exact\0900-svd\certificate.json,a721fe64ab7a54e8cd31137668c41c8b4056bcadf0d6e5024864ff995d70beab,7f0bfb2bc6e5eb4093d1016afb3054c9dbba8780533be93725361e05ecc68673,svd,86.34621953964233,True,False,False,793.7660000000033,0.5634116692492527,880.1122195396456,,
production-M7-all5-LP-CUT-rep-02,M7-all5,LP-CUT,2,production,1800,verified,47176532199943/84000000000000,47176532199943,84000000000000,0.5616253833326548,159,42024,13051375,<repo>\.research-repro\section6-complete-20260911-01\jobs\production-M7-all5-LP-CUT-rep-02\attempt-01\exact\1800-svd\certificate.json,735c8759d224e179df42040075c8961bee093ba16b6c97bc771c4bfecef28c2c,f4cb555010dda855e526fd788a3c7a65c6780c6634f15e7805398a7eea6d73d6,svd,86.35952162742615,True,False,False,1790.9380000000237,0.5616252372451589,1877.29752162745,,
production-M7-all5-LP-CUT-rep-02,M7-all5,LP-CUT,2,production,3600,verified,280227126239/500000000000,280227126239,500000000000,0.560454252478,219,66928,13051375,<repo>\.research-repro\section6-complete-20260911-01\jobs\production-M7-all5-LP-CUT-rep-02\attempt-01\exact\final-svd\certificate.json,d46d662459812cb1581604799f60a1200c580b822052326aca8b0eae7b4968e5,01f8b25084d03d39e545f546265a4699154697eb79d766ccb93482fb57869636,svd,86.36238598823547,True,False,True,3555.1410000000033,0.5604540309601829,3641.5033859882387,,
production-M7-no5-SDP-FULL-rep-02,M7-no5,SDP-FULL,2,production,60,no_completed_candidate,,,,,,,,,,,,,,,,,,,,
production-M7-no5-SDP-FULL-rep-02,M7-no5,SDP-FULL,2,production,300,no_completed_candidate,,,,,,,,,,,,,,,,,,,,
production-M7-no5-SDP-FULL-rep-02,M7-no5,SDP-FULL,2,production,900,no_completed_candidate,,,,,,,,,,,,,,,,,,,,
production-M7-no5-SDP-FULL-rep-02,M7-no5,SDP-FULL,2,production,1800,no_completed_candidate,,,,,,,,,,,,,,,,,,,,
production-M7-no5-SDP-FULL-rep-02,M7-no5,SDP-FULL,2,production,3600,verified,86174701163427/140000000000000,86174701163427,140000000000000,0.6155335797387643,339,49161,13051375,<repo>\.research-repro\section6-complete-20260911-01\jobs\production-M7-no5-SDP-FULL-rep-02\attempt-01\exact\final-svd\certificate.json,e136679d68cb1f651d0ea575b23a88d9221a333da316379a3609ffa1f60ebd46,1f121bc29bb7bd8f29f6f288369849526fc534ed18e49e7ca15fb694bd93d4b1,svd,74.32079696655273,True,False,True,3521.329000000027,0.6155335527261638,3595.6497969665797,,
production-M7-all5-SDP-CG-rep-03,M7-all5,SDP-CG,3,production,60,no_completed_candidate,,,,,,,,,,,,,,,,,,,,
production-M7-all5-SDP-CG-rep-03,M7-all5,SDP-CG,3,production,300,no_completed_candidate,,,,,,,,,,,,,,,,,,,,
production-M7-all5-SDP-CG-rep-03,M7-all5,SDP-CG,3,production,900,verified,2493688198023/2500000000000,2493688198023,2500000000000,0.9974752792092,331,83245,13051375,<repo>\.research-repro\section6-complete-20260911-01\jobs\production-M7-all5-SDP-CG-rep-03\attempt-02\exact\0900-svd\certificate.json,8209fd34641c5ef634852bb265d078a7be152f83b7662c15e3e6b9590337353b,65e8bdeed4c01bd79ea11002a1c23ca4cf1f8320538461db016e9f8978a29905,svd,87.39372730255127,True,False,False,335.51600000000326,0.9974753324476401,422.90972730255453,,
