task_id,task_status,kind,phase,attempt,path,started_epoch,search_status,status,finished_epoch,error,timing_policy_superseded
pilot-M7-all5-LP-CUT,complete,search,pilot,1,<repo>\.research-repro\section6-complete-20260911-01\jobs\pilot-M7-all5-LP-CUT\attempt-01,1789110940.1161542,,failed,1789110941.1638775,RuntimeError('process_failure: <repo>\\.research-repro\\section6-complete-20260911-01\\jobs\\pilot-M7-all5-LP-CUT\\attempt-01; see process.log'),
pilot-M7-all5-LP-CUT,complete,search,pilot,2,<repo>\.research-repro\section6-complete-20260911-01\jobs\pilot-M7-all5-LP-CUT\attempt-02,1789183509.289894,,failed,1789183685.3744237,RuntimeError('memory_limit: <repo>\\.research-repro\\section6-complete-20260911-01\\jobs\\pilot-M7-all5-LP-CUT\\attempt-02; see process.log'),
pilot-M7-all5-LP-CUT,complete,search,pilot,3,<repo>\.research-repro\section6-complete-20260911-01\jobs\pilot-M7-all5-LP-CUT\attempt-03,1789223448.7984893,time_limit,complete,1789224182.1588304,,
pilot-M7-all5-SDP-FULL,complete,search,pilot,1,<repo>\.research-repro\section6-complete-20260911-01\jobs\pilot-M7-all5-SDP-FULL\attempt-01,1789110941.1658773,,failed,1789110942.2135558,RuntimeError('process_failure: <repo>\\.research-repro\\section6-complete-20260911-01\\jobs\\pilot-M7-all5-SDP-FULL\\attempt-01; see process.log'),
pilot-M7-all5-SDP-FULL,complete,search,pilot,2,<repo>\.research-repro\section6-complete-20260911-01\jobs\pilot-M7-all5-SDP-FULL\attempt-02,1789183685.3744237,,failed,1789183727.6918104,RuntimeError('memory_limit: <repo>\\.research-repro\\section6-complete-20260911-01\\jobs\\pilot-M7-all5-SDP-FULL\\attempt-02; see process.log'),
pilot-M7-all5-SDP-FULL,complete,search,pilot,3,<repo>\.research-repro\section6-complete-20260911-01\jobs\pilot-M7-all5-SDP-FULL\attempt-03,1789224182.1640797,,failed,1789224844.218674,RuntimeError('time_limit: <repo>\\.research-repro\\section6-complete-20260911-01\\jobs\\pilot-M7-all5-SDP-FULL\\attempt-03; see process.log'),
pilot-M7-all5-SDP-FULL,complete,search,pilot,4,<repo>\.research-repro\section6-complete-20260911-01\jobs\pilot-M7-all5-SDP-FULL\attempt-04,1789230858.8202293,,failed,1789234524.0673738,RuntimeError('time_limit: <repo>\\.research-repro\\section6-complete-20260911-01\\jobs\\pilot-M7-all5-SDP-FULL\\attempt-04; see process.log'),
pilot-M7-all5-SDP-FULL,complete,search,pilot,5,<repo>\.research-repro\section6-complete-20260911-01\jobs\pilot-M7-all5-SDP-FULL\attempt-05,1789253045.1133466,,failed,1789256707.4765341,RuntimeError('time_limit: <repo>\\.research-repro\\section6-complete-20260911-01\\jobs\\pilot-M7-all5-SDP-FULL\\attempt-05; see process.log'),
pilot-M7-all5-SDP-FULL,complete,search,pilot,6,<repo>\.research-repro\section6-complete-20260911-01\jobs\pilot-M7-all5-SDP-FULL\attempt-06,1789266664.4312701,time_limit,complete,1789270161.926992,,
reference-M6-SDP-FULL-1h,complete,long-reference,reference,1,<repo>\.research-repro\section6-complete-20260911-01\jobs\reference-M6-SDP-FULL-1h\attempt-01,1789183727.6941707,time_limit,complete,1789187328.267592,,
production-M7-no5-SDP-FULL-rep-01,complete,search,production,1,<repo>\.research-repro\section6-complete-20260911-01\jobs\production-M7-no5-SDP-FULL-rep-01\attempt-01,1789270161.9303966,time_limit,complete,1789273857.0357463,,
production-M7-all5-SDP-FULL-rep-01,complete,search,production,1,<repo>\.research-repro\section6-complete-20260911-01\jobs\production-M7-all5-SDP-FULL-rep-01\attempt-01,1789273857.0427594,time_limit,complete,1789277487.2903252,,
production-M7-all5-SDP-CG-rep-01,complete,search,production,1,<repo>\.research-repro\section6-complete-20260911-01\jobs\production-M7-all5-SDP-CG-rep-01\attempt-01,1789110942.2155635,,failed,1789114604.3530946,RuntimeError('time_limit: <repo>\\.research-repro\\section6-complete-20260911-01\\jobs\\production-M7-all5-SDP-CG-rep-01\\attempt-01; see process.log'),True
production-M7-all5-SDP-CG-rep-01,complete,search,production,2,<repo>\.research-repro\section6-complete-20260911-01\jobs\production-M7-all5-SDP-CG-rep-01\attempt-02,1789187328.274154,time_limit,complete,1789191032.2369049,,
lp-memory-validation-v2,complete,lp-memory-validation,,1,<repo>\.research-repro\section6-complete-20260911-01\jobs\lp-memory-validation-v2\attempt-01,1789234524.0748854,,complete,1789234525.1311738,,
pilot-M7-no5-LP-CUT-memory-v2,complete,search,pilot,1,<repo>\.research-repro\section6-complete-20260911-01\jobs\pilot-M7-no5-LP-CUT-memory-v2\attempt-01,1789234525.135177,,failed,1789234994.3258524,RuntimeError('process_failure: <repo>\\.research-repro\\section6-complete-20260911-01\\jobs\\pilot-M7-no5-LP-CUT-memory-v2\\attempt-01; see process.log'),
pilot-M7-no5-LP-CUT-memory-v2,complete,search,pilot,2,<repo>\.research-repro\section6-complete-20260911-01\jobs\pilot-M7-no5-LP-CUT-memory-v2\attempt-02,1789256707.48988,time_limit,complete,1789257381.5937467,,
pilot-M7-all5-LP-CUT-memory-v2,complete,search,pilot,1,<repo>\.research-repro\section6-complete-20260911-01\jobs\pilot-M7-all5-LP-CUT-memory-v2\attempt-01,1789234994.330849,time_limit,complete,1789235728.571015,,
production-M7-no5-LP-CUT-rep-01,complete,search,production,1,<repo>\.research-repro\section6-complete-20260911-01\jobs\production-M7-no5-LP-CUT-rep-01\attempt-01,1789224844.231754,,failed,1789226006.0004652,RuntimeError('process_failure: <repo>\\.research-repro\\section6-complete-20260911-01\\jobs\\production-M7-no5-LP-CUT-rep-01\\attempt-01; see process.log'),
production-M7-no5-LP-CUT-rep-01,complete,search,production,2,<repo>\.research-repro\section6-complete-20260911-01\jobs\production-M7-no5-LP-CUT-rep-01\attempt-02,1789257381.5957708,,failed,1789258063.7651417,RuntimeError('process_failure: <repo>\\.research-repro\\section6-complete-20260911-01\\jobs\\production-M7-no5-LP-CUT-rep-01\\attempt-02; see process.log'),
production-M7-no5-LP-CUT-rep-01,complete,search,production,3,<repo>\.research-repro\section6-complete-20260911-01\jobs\production-M7-no5-LP-CUT-rep-01\attempt-03,1789277487.2903252,time_limit,complete,1789281415.4257374,,
production-M7-no5-SDP-CG-rep-01,complete,search,production,1,<repo>\.research-repro\section6-complete-20260911-01\jobs\production-M7-no5-SDP-CG-rep-01\attempt-01,1789114604.3530946,time_limit,complete,1789118498.4193285,,
production-M7-all5-LP-CUT-rep-01,complete,search,production,1,<repo>\.research-repro\section6-complete-20260911-01\jobs\production-M7-all5-LP-CUT-rep-01\attempt-01,1789226006.0004652,,failed,1789227185.5337396,RuntimeError('process_failure: <repo>\\.research-repro\\section6-complete-20260911-01\\jobs\\production-M7-all5-LP-CUT-rep-01\\attempt-01; see process.log'),
production-M7-all5-LP-CUT-rep-01,complete,search,production,2,<repo>\.research-repro\section6-complete-20260911-01\jobs\production-M7-all5-LP-CUT-rep-01\attempt-02,1789235728.5847855,time_limit,complete,1789239866.43847,,
production-M7-all5-SDP-FULL-rep-02,complete,search,production,1,<repo>\.research-repro\section6-complete-20260911-01\jobs\production-M7-all5-SDP-FULL-rep-02\attempt-01,1789281415.4312837,time_limit,complete,1789285045.6422346,,
production-M7-all5-SDP-CG-rep-02,complete,search,production,1,<repo>\.research-repro\section6-complete-20260911-01\jobs\production-M7-all5-SDP-CG-rep-02\attempt-01,1789118498.4254036,,failed,1789122160.2510219,RuntimeError('time_limit: <repo>\\.research-repro\\section6-complete-20260911-01\\jobs\\production-M7-all5-SDP-CG-rep-02\\attempt-01; see process.log'),True
production-M7-all5-SDP-CG-rep-02,complete,search,production,2,<repo>\.research-repro\section6-complete-20260911-01\jobs\production-M7-all5-SDP-CG-rep-02\attempt-02,1789191032.2489243,time_limit,complete,1789194733.0248632,,
production-M7-no5-LP-CUT-rep-02,complete,search,production,1,<repo>\.research-repro\section6-complete-20260911-01\jobs\production-M7-no5-LP-CUT-rep-02\attempt-01,1789227185.5437486,,interrupted_for_repair,1789227187.5438251,Interrupted at the transition to avoid repeating the diagnosed full-LP memory failure; current independent all5 trial had already ended. Resume with prepared repair.,
production-M7-no5-LP-CUT-rep-02,complete,search,production,2,<repo>\.research-repro\section6-complete-20260911-01\jobs\production-M7-no5-LP-CUT-rep-02\attempt-02,1789258063.7782645,,failed,1789258742.9361897,RuntimeError('process_failure: <repo>\\.research-repro\\section6-complete-20260911-01\\jobs\\production-M7-no5-LP-CUT-rep-02\\attempt-02; see process.log'),
production-M7-no5-LP-CUT-rep-02,complete,search,production,3,<repo>\.research-repro\section6-complete-20260911-01\jobs\production-M7-no5-LP-CUT-rep-02\attempt-03,1789285045.6496766,time_limit,complete,1789289103.058491,,
production-M7-no5-SDP-CG-rep-02,complete,search,production,1,<repo>\.research-repro\section6-complete-20260911-01\jobs\production-M7-no5-SDP-CG-rep-02\attempt-01,1789122160.2510219,time_limit,complete,1789125998.930788,,
production-M7-all5-LP-CUT-rep-02,complete,search,production,1,<repo>\.research-repro\section6-complete-20260911-01\jobs\production-M7-all5-LP-CUT-rep-02\attempt-01,1789239866.4698048,time_limit,complete,1789244008.3031838,,
production-M7-no5-SDP-FULL-rep-02,complete,search,production,1,<repo>\.research-repro\section6-complete-20260911-01\jobs\production-M7-no5-SDP-FULL-rep-02\attempt-01,1789289103.0659359,time_limit,complete,1789292786.9930408,,
production-M7-all5-SDP-CG-rep-03,complete,search,production,1,<repo>\.research-repro\section6-complete-20260911-01\jobs\production-M7-all5-SDP-CG-rep-03\attempt-01,1789125998.934631,,failed,1789129660.7883632,RuntimeError('time_limit: <repo>\\.research-repro\\section6-complete-20260911-01\\jobs\\production-M7-all5-SDP-CG-rep-03\\attempt-01; see process.log'),True
production-M7-all5-SDP-CG-rep-03,complete,search,production,2,<repo>\.research-repro\section6-complete-20260911-01\jobs\production-M7-all5-SDP-CG-rep-03\attempt-02,1789194733.03715,time_limit,complete,1789198429.7785203,,
production-M7-no5-LP-CUT-rep-03,complete,search,production,1,<repo>\.research-repro\section6-complete-20260911-01\jobs\production-M7-no5-LP-CUT-rep-03\attempt-01,1789258742.9519536,,interrupted_for_repair,1789259068.669514,Interrupted identical-setting third trial after two verified fresh-backend allocation failures; preserve partial data and require reduced coefficient-storage policy before retry.,
production-M7-no5-LP-CUT-rep-03,complete,search,production,2,<repo>\.research-repro\section6-complete-20260911-01\jobs\production-M7-no5-LP-CUT-rep-03\attempt-02,1789292786.9996932,time_limit,complete,1789296840.420015,,
production-M7-no5-SDP-CG-rep-03,complete,search,production,1,<repo>\.research-repro\section6-complete-20260911-01\jobs\production-M7-no5-SDP-CG-rep-03\attempt-01,1789129660.7883632,time_limit,complete,1789133594.0016494,,
production-M7-all5-LP-CUT-rep-03,complete,search,production,1,<repo>\.research-repro\section6-complete-20260911-01\jobs\production-M7-all5-LP-CUT-rep-03\attempt-01,1789244008.3031838,time_limit,complete,1789248145.299408,,
production-M7-no5-SDP-FULL-rep-03,complete,search,production,1,<repo>\.research-repro\section6-complete-20260911-01\jobs\production-M7-no5-SDP-FULL-rep-03\attempt-01,1789296840.4250152,time_limit,complete,1789300551.5966113,,
production-M7-all5-SDP-FULL-rep-03,complete,search,production,1,<repo>\.research-repro\section6-complete-20260911-01\jobs\production-M7-all5-SDP-FULL-rep-03\attempt-01,1789300551.6038425,time_limit,complete,1789304160.6126122,,
long-M7-no5-LP-CUT-CG,complete,search,long,1,<repo>\.research-repro\section6-complete-20260911-01\jobs\long-M7-no5-LP-CUT-CG\attempt-01,1789133594.004431,time_limit,complete,1789155893.509227,,
long-M7-all5-LP-CUT-CG,complete,search,long,1,<repo>\.research-repro\section6-complete-20260911-01\jobs\long-M7-all5-LP-CUT-CG\attempt-01,1789155893.5162518,,failed,1789159818.2391798,RuntimeError('process_failure: <repo>\\.research-repro\\section6-complete-20260911-01\\jobs\\long-M7-all5-LP-CUT-CG\\attempt-01; see process.log'),
long-M7-all5-LP-CUT-CG,complete,search,long,2,<repo>\.research-repro\section6-complete-20260911-01\jobs\long-M7-all5-LP-CUT-CG\attempt-02,1789198429.796101,time_limit,complete,1789220838.2499967,,
long-M6-SDP-FULL,complete,long-reference,long,1,<repo>\.research-repro\section6-complete-20260911-01\jobs\long-M6-SDP-FULL\attempt-01,1789159818.244028,time_limit,complete,1789181421.2088892,,
